time,open,high,low,close,Volume
2023-12-11T14:30:00Z,16069.6151,16126.1397,16061.8741,16100.7634,67272235
2023-12-11T14:35:00Z,16100.4421,16127.5165,16077.1436,16125.2512,28930895
2023-12-11T14:40:00Z,16125.8254,16136.943,16113.2838,16123.3162,20365976
2023-12-11T14:45:00Z,16121.7493,16147.9286,16120.9995,16131.5672,19630071
2023-12-11T14:50:00Z,16132.7161,16151.1609,16127.0122,16138.2604,18470958
2023-12-11T14:55:00Z,16138.1978,16147.5039,16116.5095,16146.1844,15718832
2023-12-11T15:00:00Z,16150.3683,16151.722,16131.8668,16145.0483,17078231
2023-12-11T15:05:00Z,16145.2032,16158.5327,16140.7476,16155.5572,17231233
2023-12-11T15:10:00Z,16155.2556,16160.3258,16144.7814,16155.4926,14048834
2023-12-11T15:15:00Z,16155.42,16157.3032,16137.6144,16147.9689,15288900
2023-12-11T15:20:00Z,16147.647,16154.378,16141.0217,16142.9046,13799549
2023-12-11T15:25:00Z,16142.1357,16146.3814,16131.2328,16132.2869,13788849
2023-12-11T15:30:00Z,16132.8889,16148.4748,16124.7044,16147.2508,14214416
2023-12-11T15:35:00Z,16146.6999,16157.2793,16141.4136,16146.2347,13038166
2023-12-11T15:40:00Z,16146.2227,16149.0321,16133.7004,16146.6141,11505142
2023-12-11T15:45:00Z,16145.9022,16176.7521,16145.6873,16173.4586,11997712
2023-12-11T15:50:00Z,16173.0697,16184.7255,16171.4443,16182.3334,11238314
2023-12-11T15:55:00Z,16182.1593,16184.7068,16165.2269,16165.2269,11923219
2023-12-11T16:00:00Z,16165.0161,16172.9475,16162.2588,16168.6757,11072980
2023-12-11T16:05:00Z,16168.7642,16168.8306,16143.2085,16143.8658,11096401
2023-12-11T16:10:00Z,16143.9539,16145.9445,16125.0135,16125.5212,9870536
2023-12-11T16:15:00Z,16125.2544,16136.9138,16124.9844,16132.3837,10120496
2023-12-11T16:20:00Z,16132.792,16141.0724,16121.9917,16138.2873,9347204
2023-12-11T16:25:00Z,16138.248,16149.4074,16137.3062,16139.021,8370392
2023-12-11T16:30:00Z,16139.8436,16144.5344,16112.1244,16119.2998,11522257
2023-12-11T16:35:00Z,16119.5135,16136.0136,16113.2916,16133.46,8708576
2023-12-11T16:40:00Z,16133.466,16136.5876,16124.9544,16132.2529,7535711
2023-12-11T16:45:00Z,16132.2918,16137.3924,16127.8146,16136.7388,7115293
2023-12-11T16:50:00Z,16136.7526,16143.9129,16135.8214,16142.1502,7612135
2023-12-11T16:55:00Z,16142.2021,16148.8834,16138.6016,16147.3319,7775749
2023-12-11T17:00:00Z,16147.743,16155.6986,16136.2187,16154.4728,8612113
2023-12-11T17:05:00Z,16154.298,16165.623,16154.298,16163.3113,8287927
2023-12-11T17:10:00Z,16163.4628,16166.6433,16160.2714,16162.2737,6717364
2023-12-11T17:15:00Z,16162.1474,16162.7516,16156.4685,16162.6804,6711154
2023-12-11T17:20:00Z,16163.0078,16172.0681,16162.6388,16170.561,7056010
2023-12-11T17:25:00Z,16170.4431,16175.1606,16164.221,16174.2877,6598281
2023-12-11T17:30:00Z,16174.192,16176.0876,16170.2616,16173.2301,6935029
2023-12-11T17:35:00Z,16173.4495,16181.0374,16171.9631,16180.9808,6321605
2023-12-11T17:40:00Z,16181.1545,16183.0263,16175.1887,16177.9905,5770627
2023-12-11T17:45:00Z,16177.706,16185.9697,16177.3381,16185.7102,6517282
2023-12-11T17:50:00Z,16185.7376,16189.396,16182.2807,16185.9446,6430981
2023-12-11T17:55:00Z,16185.9328,16190.3326,16184.7451,16188.9131,6044247
2023-12-11T18:00:00Z,16188.9463,16204.7674,16178.7436,16204.5096,8326579
2023-12-11T18:05:00Z,16204.4864,16205.297,16198.242,16200.1641,6651236
2023-12-11T18:10:00Z,16199.8571,16199.8896,16191.3721,16191.5599,5754442
2023-12-11T18:15:00Z,16191.484,16205.2957,16191.0697,16204.6982,6483180
2023-12-11T18:20:00Z,16204.7601,16210.8388,16204.7601,16209.492,6991366
2023-12-11T18:25:00Z,16209.4626,16211.8959,16208.0744,16209.313,6332906
2023-12-11T18:30:00Z,16209.2424,16213.6518,16209.2424,16212.2434,7047725
2023-12-11T18:35:00Z,16212.287,16213.0209,16207.7585,16210.6275,6190051
2023-12-11T18:40:00Z,16210.2807,16214.5871,16208.9529,16213.3114,5965552
2023-12-11T18:45:00Z,16213.2421,16222.3206,16211.3415,16221.6933,7208274
2023-12-11T18:50:00Z,16221.6916,16229.2597,16221.3226,16224.4334,8155086
2023-12-11T18:55:00Z,16224.3778,16226.9547,16219.9944,16221.4213,6470454
2023-12-11T19:00:00Z,16221.2954,16228.1394,16220.8562,16225.2034,7087547
2023-12-11T19:05:00Z,16224.8913,16229.2797,16224.1692,16228.5653,6630013
2023-12-11T19:10:00Z,16228.5705,16232.2553,16226.6637,16229.1101,6411412
2023-12-11T19:15:00Z,16229.1748,16229.1748,16213.1415,16213.2959,7850299
2023-12-11T19:20:00Z,16213.2873,16218.9524,16213.2873,16215.5053,7038589
2023-12-11T19:25:00Z,16215.6357,16221.9281,16215.5694,16221.3173,5896385
2023-12-11T19:30:00Z,16221.4141,16224.5575,16216.4337,16219.2461,6930438
2023-12-11T19:35:00Z,16219.1859,16219.8976,16208.537,16211.4902,6897386
2023-12-11T19:40:00Z,16211.7242,16213.5218,16206.5652,16207.0454,6942315
2023-12-11T19:45:00Z,16206.994,16210.4613,16205.2088,16210.4613,6119458
2023-12-11T19:50:00Z,16210.8052,16211.9313,16207.0921,16210.6891,7540429
2023-12-11T19:55:00Z,16210.6502,16211.9284,16205.6162,16210.4476,7070663
2023-12-11T20:00:00Z,16210.7994,16211.7578,16198.387,16205.141,7066658
2023-12-11T20:05:00Z,16205.2631,16220.2731,16205.2631,16218.0518,7780680
2023-12-11T20:10:00Z,16218.1084,16218.1084,16205.8591,16214.4247,7897619
2023-12-11T20:15:00Z,16214.5884,16220.8678,16214.5737,16217.2365,7521415
2023-12-11T20:20:00Z,16217.223,16217.3323,16206.6726,16216.8725,8427635
2023-12-11T20:25:00Z,16217.1537,16217.3803,16200.1562,16203.0203,9725154
2023-12-11T20:30:00Z,16203.2215,16210.8519,16201.9763,16207.3701,9732763
2023-12-11T20:35:00Z,16207.5002,16218.3664,16207.1169,16218.3664,9572220
2023-12-11T20:40:00Z,16218.2213,16221.7383,16214.7021,16216.0464,10571092
2023-12-11T20:45:00Z,16216.0042,16221.6822,16214.0447,16215.3731,13074317
2023-12-11T20:50:00Z,16211.3883,16221.7107,16210.4689,16216.4607,25089579
2023-12-11T20:55:00Z,16216.2946,16226.0826,16212.5834,16223.3288,142732458
2023-12-11T21:00:00Z,16222.7502,16222.7502,16221.7348,16221.7348,74693637
2023-12-12T14:30:00Z,16209.6113,16224.184,16192.1978,16196.1839,50128220
2023-12-12T14:35:00Z,16196.4564,16207.3302,16188.5741,16193.8896,22373375
2023-12-12T14:40:00Z,16194.1796,16208.1429,16175.4613,16186.0806,20164237
2023-12-12T14:45:00Z,16186.0672,16215.0322,16183.7684,16214.9088,17331007
2023-12-12T14:50:00Z,16214.5615,16224.6288,16202.3302,16204.4536,17407072
2023-12-12T14:55:00Z,16205.8843,16242.3864,16205.8843,16242.3864,16061707
2023-12-12T15:00:00Z,16242.7178,16249.0437,16234.3229,16245.1099,15117559
2023-12-12T15:05:00Z,16245.2766,16255.294,16241.8458,16251.5433,13977470
2023-12-12T15:10:00Z,16251.197,16251.197,16237.7819,16241.0596,14585622
2023-12-12T15:15:00Z,16241.23,16262.7763,16240.3451,16257.7254,15152004
2023-12-12T15:20:00Z,16258.1069,16263.9465,16248.2196,16257.529,11464371
2023-12-12T15:25:00Z,16258.3876,16265.629,16246.4471,16246.4471,10635753
2023-12-12T15:30:00Z,16246.5023,16256.0839,16238.6461,16247.1288,11585491
2023-12-12T15:35:00Z,16247.2751,16261.7503,16245.5276,16258.2246,10385009
2023-12-12T15:40:00Z,16257.8052,16262.7614,16251.0746,16256.2411,11746993
2023-12-12T15:45:00Z,16256.417,16263.839,16251.1052,16253.8363,9930100
2023-12-12T15:50:00Z,16254.3678,16260.6638,16247.4528,16258.3747,10349238
2023-12-12T15:55:00Z,16258.4143,16273.6356,16258.2004,16273.3785,10509248
2023-12-12T16:00:00Z,16272.9756,16282.1798,16272.9756,16281.1069,9598259
2023-12-12T16:05:00Z,16281.0343,16286.0315,16273.0622,16274.8569,10582222
2023-12-12T16:10:00Z,16274.9298,16277.8897,16268.2732,16274.6008,8806877
2023-12-12T16:15:00Z,16274.6421,16278.1878,16270.2551,16275.354,9210827
2023-12-12T16:20:00Z,16275.4049,16292.2424,16274.4324,16291.3024,9601865
2023-12-12T16:25:00Z,16291.5582,16291.5582,16272.866,16274.3438,9306800
2023-12-12T16:30:00Z,16274.2632,16283.2367,16271.9696,16276.367,8476545
2023-12-12T16:35:00Z,16276.7311,16283.2111,16275.0731,16278.2199,7725837
2023-12-12T16:40:00Z,16278.2081,16280.7329,16275.3451,16278.3059,6860705
2023-12-12T16:45:00Z,16278.2646,16285.1196,16278.0568,16281.5367,6746200
2023-12-12T16:50:00Z,16282.3883,16283.0468,16269.3406,16272.8495,7779973
2023-12-12T16:55:00Z,16272.824,16274.0784,16261.2934,16263.5414,9229544
2023-12-12T17:00:00Z,16264.2706,16267.6717,16259.4471,16262.5102,9237317
2023-12-12T17:05:00Z,16262.5386,16262.5386,16247.0071,16249.5121,8028673
2023-12-12T17:10:00Z,16249.5005,16259.9062,16244.9469,16259.2636,7791798
